Id1,Jahr,Id,Bl,Typ,price
359,2019,20,Hamburg,Durchschnittlicher Kaufwert je qm,"1157.91"
363,2019,31,"Braunschweig",Durchschnittlicher Kaufwert je qm,"103.53"
367,2019,32,"Hannover",Durchschnittlicher Kaufwert je qm,"110.87"
371,2019,33,"Lüneburg",Durchschnittlicher Kaufwert je qm,"84.72"
375,2019,34,"Weser-Ems",Durchschnittlicher Kaufwert je qm,"97.40"
379,2019,40,Bremen,Durchschnittlicher Kaufwert je qm,"252.68"
383,2019,51,"Düsseldorf",Durchschnittlicher Kaufwert je qm,"163.26"
387,2019,53,"Köln",Durchschnittlicher Kaufwert je qm,"176.05"
391,2019,55,"Münster",Durchschnittlicher Kaufwert je qm,"123.96"
395,2019,57,"Detmold",Durchschnittlicher Kaufwert je qm,"100.06"
399,2019,59,"Arnsberg",Durchschnittlicher Kaufwert je qm,"145.28"
403,2019,64,"Darmstadt",Durchschnittlicher Kaufwert je qm,"407.92"
407,2019,65,"Gießen",Durchschnittlicher Kaufwert je qm,"98.69"
411,2019,66,"Kassel",Durchschnittlicher Kaufwert je qm,"73.96"
415,2019,71,"Koblenz",Durchschnittlicher Kaufwert je qm,"92.81"
419,2019,72,"Trier",Durchschnittlicher Kaufwert je qm,"85.71"
423,2019,73,"Rheinhessen-Pfalz",Durchschnittlicher Kaufwert je qm,"248.39"
427,2019,81,"Stuttgart",Durchschnittlicher Kaufwert je qm,"312.62"
431,2019,82,"Karlsruhe",Durchschnittlicher Kaufwert je qm,"257.74"
435,2019,83,"Freiburg",Durchschnittlicher Kaufwert je qm,"205.21"
439,2019,84,"Tübingen",Durchschnittlicher Kaufwert je qm,"140.23"
443,2019,91,"Oberbayern",Durchschnittlicher Kaufwert je qm,"877.11"
447,2019,92,"Niederbayern",Durchschnittlicher Kaufwert je qm,"119.31"
451,2019,93,"Oberpfalz",Durchschnittlicher Kaufwert je qm,"94.21"
455,2019,94,"Oberfranken",Durchschnittlicher Kaufwert je qm,"85.15"
459,2019,95,"Mittelfranken",Durchschnittlicher Kaufwert je qm,"259.93"
463,2019,96,"Unterfranken",Durchschnittlicher Kaufwert je qm,"135.57"
467,2019,97,"Schwaben",Durchschnittlicher Kaufwert je qm,"210.26"
475,2019,110,Berlin,Durchschnittlicher Kaufwert je qm,"1328.50"
499,2019,145,"Chemnitz",Durchschnittlicher Kaufwert je qm,"48.17"
503,2019,146,"Dresden",Durchschnittlicher Kaufwert je qm,"110.53"
507,2019,147,"Leipzig",Durchschnittlicher Kaufwert je qm,"129.25"